x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,bs_count,pitch_result,game_state,ump,pitcherid,catcherid,all_star
0.769295317,41.23210619,2571.044691,96.92222817,FF,L,-2.04,54.44,5.84,-8.32,10.27,6.064,R,0-0,ball,---:0,5,2,2,after
-11.72458153,30.50362053,2641.719322,96.75051224,FF,L,-2.05,54.44,5.83,-8.41,11.15,6.055,R,Jan-00,called_strike,---:0,5,2,2,after
17.39971204,7.093686339,2672.154596,89.13021874,SL,R,-1.94,54.7,5.98,2.27,1.03,5.802,R,0-1,ball,---:1,5,2,2,after
4.222682996,27.27585637,2720.716349,86.87000909,SL,R,-1.81,54.51,5.9,1.2,-1.17,5.994,R,1-Jan,called_strike,---:1,5,2,2,after
13.91868121,20.96411263,2630.407148,98.26139271,FF,R,-1.78,54.31,5.9,-7.68,12.93,6.186,R,2-Jan,ball,---:1,5,2,2,after
24.24976552,45.36188707,2550.438672,99.35124504,FF,R,-1.9,54.42,5.88,-7.15,11.87,6.077,R,2-Feb,ball,---:1,5,2,2,after
17.31545768,13.64443727,2738.247213,88.81934417,SL,R,-1.88,54.49,5.83,1.79,1.74,6.012,R,0-0,ball,-2-:2,5,2,2,after
14.41155903,14.62937304,2733.384591,89.91825574,SL,R,-1.99,54.73,5.77,2.45,-0.5,5.766,R,1-Jan,ball,-2-:2,5,2,2,after
16.60846314,25.55912412,2740.222315,99.95204731,FF,R,-1.88,54.31,5.86,-9.58,11.08,6.19,R,2-Feb,ball,-2-:2,5,2,2,after
11.42551438,17.64142582,2769.106101,91.01937051,SL,R,-2.14,54.48,5.87,1.42,0.77,6.019,R,2-Mar,ball,-2-:2,5,2,2,after
-1.862778647,35.25601695,2643.312295,97.43304851,FF,L,-2,54.5,5.94,-7.61,11.3,5.995,R,0-0,called_strike,---:0,19,2,2,after
-13.87248735,30.85222203,2745.908593,98.55984351,FF,L,-2.27,54.23,5.67,-8.69,10.34,6.274,R,0-2,ball,---:0,19,2,2,after
5.832344499,30.20294997,2978.973823,86.07178052,SL,L,-1.99,54.58,5.81,5.75,-5.46,5.921,R,2-Jan,called_strike,---:0,19,2,2,after
7.750502009,22.80060959,2596.489491,97.12095696,FF,R,-1.84,54.39,5.81,-8.03,11.62,6.112,R,0-0,called_strike,---:1,19,2,2,after
16.29812209,41.41497599,2541.077682,97.09897865,FF,R,-1.94,54.05,5.81,-8.34,10.52,6.453,R,0-1,ball,---:1,19,2,2,after
0.491935374,25.15152301,2635.936206,89.10966549,SL,R,-2.1,54.9,5.82,3.78,0.42,5.599,R,1-Jan,called_strike,---:1,19,2,2,after
-8.485669477,38.86830691,2565.136026,96.87774927,FF,L,-2.01,54.43,5.89,-8.9,10.48,6.071,R,0-0,called_strike,---:2,19,2,2,after
-11.14560504,13.64340839,2611.576181,97.49173556,FF,L,-2.09,54.51,5.92,-8.66,12.01,5.986,R,0-1,ball,---:2,19,2,2,after
14.36429785,38.4104492,2614.790149,97.36756805,FF,L,-1.96,54.39,5.91,-8.57,10.95,6.108,R,1-Jan,ball,---:2,19,2,2,after
14.98969069,1.029793226,2878.022751,86.43842343,CB,L,-2.01,54.34,5.89,1.63,-6.62,6.159,R,2-Feb,ball,---:2,19,2,2,after
-2.413617309,45.61059529,2687.727404,98.82006255,FF,L,-1.94,54.29,5.94,-7.94,10.27,6.212,R,2-Mar,ball,---:2,19,2,2,after
-5.002360374,12.13020951,2586.129713,95.66036629,FF,R,-2.04,54.35,5.78,-9.86,9.46,6.152,R,0-0,ball,---:0,19,2,2,after
3.830692258,46.15152255,2851.27684,82.29954668,CB,L,-2.06,55.2,5.95,5.25,-7.37,5.296,R,0-0,ball,---:1,19,2,2,after
-4.352673803,18.18069901,2661.709981,97.76706099,FF,L,-2.01,54.34,5.83,-7.6,11.69,6.155,R,1-Jan,ball,---:1,19,2,2,after
-3.947142716,38.91696835,2735.999925,83.66026656,CB,L,-2.04,54.87,5.88,5.22,-6.62,5.633,R,0-0,called_strike,---:2,19,2,2,after
-22.65581548,34.65464469,2437.119141,96.96891052,FF,L,-2.13,54.08,5.79,-6.33,11.11,6.42,R,0-1,ball,---:2,19,2,2,after
10.28584048,17.13548161,2596.916416,96.66147116,FF,R,-2.05,54.21,5.78,-9,9.74,6.289,R,0-0,ball,---:0,19,2,2,after
2.531525325,23.64192714,2065.751014,88.20271327,CH,L,-2.06,54.01,5.54,-10.51,7.19,6.485,R,0-0,called_strike,---:1,19,2,2,after
-15.70835963,41.30345952,2633.904946,97.25940303,FF,L,-2.11,54.3,5.69,-9.23,9.5,6.203,R,0-1,ball,---:1,19,2,2,after
2.30277961,34.42830207,2799.775678,84.00795843,CB,R,-1.99,54.78,5.83,4.27,-8.51,5.719,R,0-0,called_strike,---:2,19,2,2,after
5.291448648,45.90042376,2523.653338,87.34810011,SL,L,-2.2,54.58,5.87,1.94,6.02,5.923,R,0-0,called_strike,---:0,19,2,2,after
-8.06083844,48.05998402,2571.918463,97.18957786,FF,L,-2.18,54.19,5.77,-8.96,10.29,6.31,R,0-1,ball,---:0,19,2,2,after
7.010484694,42.36986754,2491.737509,96.29183055,FF,L,-1.92,54.28,5.81,-9.02,9.21,6.22,R,1-Jan,ball,---:0,19,2,2,after
-13.05763056,36.91121282,2584.513115,96.64867209,FF,L,-2.02,54.16,5.83,-7.96,11.49,6.335,R,1-Feb,ball,---:0,19,2,2,after
12.76648211,14.80956305,2515.479412,90.23669145,SL,R,-1.91,54.59,5.86,0.76,4.01,5.909,R,0-1,ball,1--:0,19,2,2,after
6.274077045,22.78734282,2568.266728,98.53286338,FF,R,-1.95,54.01,5.83,-8.51,11.22,6.486,R,1-Jan,called_strike,1--:0,19,2,2,after
-8.363745919,49.18825047,1970.126573,86.83803395,CH,L,-2.11,54.2,5.69,-10.02,5.08,6.298,R,0-0,ball,1--:1,19,2,2,after
17.56839001,34.35521584,2606.580464,88.9112326,SL,R,-1.89,54.57,5.86,2.59,1.52,5.932,R,1-Jan,ball,1--:2,19,2,2,after
-4.11418664,54.70808892,2529.249723,95.93816273,FF,L,-1.87,54.3,5.83,-9.26,10.75,6.198,R,0-1,ball,---:0,19,2,2,after
-12.07233503,25.48735096,2519.203534,96.92975947,FF,L,-2.08,53.94,5.79,-7.35,11.36,6.56,R,0-0,called_strike,---:1,19,2,2,after
-18.43291375,46.28340206,2454.964752,95.92856353,FF,L,-2.02,54.15,5.9,-8,10.01,6.35,R,0-1,ball,---:1,19,2,2,after
10.48789703,32.03974832,2613.761308,97.61896265,FF,R,-1.85,54.29,5.89,-8.1,10.04,6.206,R,0-0,called_strike,---:2,19,2,2,after
13.00694254,15.94731147,2492.528957,97.31230548,FF,R,-1.76,54.15,5.84,-7.55,12.39,6.352,R,0-1,ball,---:2,19,2,2,after
4.593155884,30.19377323,2520.193783,98.24868763,FF,R,-2.11,54.17,5.64,-9.48,9.22,6.328,R,2-Jan,called_strike,---:2,19,2,2,after
-8.60363749,32.34980413,2528.586299,89.07175773,SL,R,-2.03,54.71,5.88,1.09,-0.23,5.794,R,0-0,called_strike,---:1,19,2,2,after
16.85996518,9.189324149,2850.561622,84.72993882,CB,R,-1.72,54.69,5.85,4.2,-6.87,5.81,R,0-2,ball,---:1,19,2,2,after
22.76484383,32.54316387,2742.276883,99.21032331,FF,R,-1.68,54.18,5.87,-9.95,11.84,6.324,R,2-Jan,ball,---:1,19,2,2,after
3.344537588,11.41066887,2195.55119,87.93967186,CH,L,-2.03,53.86,5.64,-10.19,6.75,6.644,R,0-1,ball,---:2,19,2,2,after
